# forestry
# 5.8.2.387
Beekeeping statistics for TextComponent{text='', siblings=[TextComponent{text='Den56123', siblings=[], style=Style{hasParent=true, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Den56123 '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Den56123",id:"0e48e91f-b2fb-4b90-a7f7-9c5d2ecdc0c0"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Den56123}}], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Den56123 '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Den56123",id:"0e48e91f-b2fb-4b90-a7f7-9c5d2ecdc0c0"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Den56123}} on 1/16/22 12:57 PM:

Mode: NORMAL

Discovered:
-----------
Queen:		2
Princess:	1
Drone:		2

Species (160):
--------------
X: Discovered
BL: Blacklisted
NC: Not counted for the species total

[ X  ] [ BL ] [ NC ]	UID                                      Species              Authority           
-------------------------------------------------------------------------------------------------------

[    ] [    ] [    ]	forestry.speciesForest                   Forest               Sengir              
[    ] [    ] [    ]	forestry.speciesMeadows                  Meadows              Sengir              
[    ] [    ] [    ]	forestry.speciesCommon                   Common               Sengir              
[    ] [    ] [    ]	forestry.speciesCultivated               Cultivated           Sengir              
[    ] [    ] [    ]	forestry.speciesNoble                    Noble                Sengir              
[    ] [    ] [    ]	forestry.speciesMajestic                 Majestic             Sengir              
[    ] [    ] [    ]	forestry.speciesImperial                 Imperial             Sengir              
[    ] [    ] [    ]	forestry.speciesDiligent                 Diligent             Sengir              
[    ] [    ] [    ]	forestry.speciesUnweary                  Unweary              Sengir              
[    ] [    ] [    ]	forestry.speciesIndustrious              Industrious          Sengir              
[    ] [    ] [    ]	forestry.speciesSteadfast                Steadfast            Sengir              
[ X  ] [    ] [    ]	forestry.speciesValiant                  Valiant              Sengir              
[    ] [    ] [    ]	forestry.speciesHeroic                   Heroic               Sengir              
[    ] [    ] [    ]	forestry.speciesSinister                 Sinister             Sengir              
[    ] [    ] [    ]	forestry.speciesFiendish                 Fiendish             Sengir              
[    ] [    ] [    ]	forestry.speciesDemonic                  Demonic              Sengir              
[    ] [    ] [    ]	forestry.speciesModest                   Modest               Sengir              
[    ] [    ] [    ]	forestry.speciesFrugal                   Frugal               Sengir              
[    ] [    ] [    ]	forestry.speciesAustere                  Austere              Sengir              
[    ] [    ] [    ]	forestry.speciesTropical                 Tropical             Sengir              
[    ] [    ] [    ]	forestry.speciesExotic                   Exotic               Sengir              
[    ] [    ] [    ]	forestry.speciesEdenic                   Edenic               Sengir              
[    ] [    ] [    ]	forestry.speciesEnded                    Ender                Sengir              
[    ] [    ] [    ]	forestry.speciesSpectral                 Spectral             Sengir              
[    ] [    ] [    ]	forestry.speciesPhantasmal               Phantasmal           Sengir              
[    ] [    ] [    ]	forestry.speciesWintry                   Wintry               Sengir              
[    ] [    ] [    ]	forestry.speciesIcy                      Icy                  Sengir              
[    ] [    ] [    ]	forestry.speciesGlacial                  Glacial              Sengir              
[    ] [    ] [ NC ]	forestry.speciesVindictive               Vindictive           Sengir              
[    ] [    ] [ NC ]	forestry.speciesVengeful                 Vengeful             Sengir              
[    ] [    ] [ NC ]	forestry.speciesAvenging                 Avenging             Sengir              
[    ] [    ] [ NC ]	forestry.speciesLeporine                 Leporine             Sengir              
[    ] [    ] [ NC ]	forestry.speciesMerry                    Merry                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTipsy                    Tipsy                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTricky                   Tricky               Sengir              
[    ] [    ] [    ]	forestry.speciesRural                    Rural                Sengir              
[    ] [    ] [    ]	forestry.speciesFarmerly                 Farmerly             Sengir              
[    ] [    ] [    ]	forestry.speciesAgrarian                 Agrarian             Sengir              
[    ] [    ] [    ]	forestry.speciesMarshy                   Marshy               Sengir              
[    ] [    ] [    ]	forestry.speciesMiry                     Miry                 Sengir              
[    ] [    ] [    ]	forestry.speciesBoggy                    Boggy                Sengir              
[    ] [    ] [    ]	forestry.speciesMonastic                 Monastic             Sengir              
[    ] [    ] [    ]	forestry.speciesSecluded                 Secluded             Sengir              
[    ] [    ] [    ]	forestry.speciesHermitic                 Hermitic             Sengir              
[    ] [    ] [    ]	extrabees.species.arid                   Arid                 Binnie              
[    ] [    ] [    ]	extrabees.species.barren                 Barren               Binnie              
[    ] [    ] [    ]	extrabees.species.desolate               Desolate             Binnie              
